Name,Institution,Country
"TRUITT, Sarah",National Renewable Energy Laboratory (NREL),United States of America
"TRUJILLO BLANCO, Ramiro J.",United Nations Development Programme (UNDP),Bolivia
"TUOHY, Aidan",Electric Power Research Institute (EPRI),United States of America
"UECKERDT, Falko",Potsdam Institute for Climate Impact Research (PIK),Germany
,,
"ULLEBERG, Øystein",Institute for Energy Technology,Norway
"URAMA, Kevin",African Technology Policy Studies (ATPS) Network,Kenya / Nigeria
"ÜRGE-VORSATZ, Diana",Central European University,Hungary
"USHER, Eric",United Nations Environment Programme (UNEP),Sweden
"VAN DER HORST, Dan",University of Birmingham,United Kingdom / The Netherlands
"VAN HULLE, Frans J. L.",XP Wind,Belgium
"VAN YPERSELE, Jean-Pascal",Université catholique de Louvain,Belgium
"VERBRUGGEN, Aviel",University of Antwerp,Belgium
"VERMEYLEN, Saskia",Lancaster University,United Kingdom / Belgium
"VON STECHOW, Christoph",IPCC WGIII TSU,Germany
"WANG, Zhongying",Energy Research Institute,People’s Republic of China
,,
"WARNER, Ethan",National Renewable Energy Laboratory (NREL),United States of America
"WEIR, Tony A. D.",University of the South Pacific,Republic of Fiji / Australia
"WEYERS, Paul",Energy Research Centre of the Netherlands (ECN),The Netherlands
"WILBANKS, Thomas",Oak Ridge National Laboratory,United States of America
"WILLIAMSON, Kenneth H.",Consultant,United States of America
"WILSON, Charlie",London School of Economics (LSE),United Kingdom
"WISER, Ryan",Lawrence Berkeley National Laboratory,United States of America
"WRATT, David",National Institute of Water & Atmospheric Research (NIWA),New Zealand
"WRIGHT, Raymond M. †",Petroleum Corporation of Jamaica (PCJ),Jamaica
"WÜSTENHAGEN, Rolf",University of St. Gallen,Switzerland / Germany
"WYBORN, Doone",Geodynamics Limited,Australia
,,
"XU, Honghua",Institute of Electrical Engineering,People’s Republic of China
"YAMAGUCHI, Kaoru",Institute of Energy Economics,Japan
"YAMBA, Francis",Centre for Energy Environment and Engineering,Zambia
"YANG, Joyce",U.S. Department of Energy,United States of America
,,
"YANG, Zhenbin",Chinese Academy of Meteorological Sciences,People’s Republic of China
"YOU, Yage",Guangzhou Institute of Energy Conversion,People’s Republic of China
"ZERVOS, Arthouros",National Technical University of Athens,Greece
"ZHANG, Jingjing",Lund University,Sweden
,,
"ZHANG, Yimin",National Renewable Energy Laboratory (NREL),United States of America
"ZILLES, Roberto",University of São Paulo,Brazil
"ZUI, Vladimir I.",Republican Unitary Enterprise “Belarussian Research Geological Exploration Institute”,Republic of Belarus
"ZWICKEL, Timm",IPCC WGIII TSU,Germany
