Name,Institution,Country
"VENKATAGIRI, K S",CII - Sohrabji Godrej Green Business Centre,India
"VERBRUGGEN, Aviel",University of Antwerp,Belgium
"VICTOR, David G.","University of California, San Diego",USA
"VILARIÑO, Maria Virginia","Business Council for Sustainable Development Argentina, WBCSD Argentinean Chapter",Argentina
"VINLUAN, Marlene",Asian Development Bank,Philippines
"VON STECHOW, Christoph",Potsdam Institute for Climate Impact Research,Germany
"WARD, Murray",GtripleC,New Zealand
"WATKISS, Paul",Paul Watkiss Associates,UK
"WEBER, Elke",Columbia University,USA
"WEISZ, Helga",Potsdam Institute for Climate Impact Research,Germany
"WEN, Gang","China CDM Fund Management Center, Ministry of Finance",China
"WEYANT, John",Stanford University,USA
"WIEDMANN, Tommy",The Commonwealth Scientific and Industrial Research Organisation,Australia
"WIENER, Jonathan",Duke University,USA
"WIERTZ, Thilo",Institute for Advanced Sustainability Studies,Germany
"WILSON, Thomas",Electric Power Research Institute (EPRI),USA
"WINKLER, Harald",University of Cape Town,South Africa
"WISER, Ryan",Lawrence Berkeley National Laboratory,USA
"WONG, Linda",UC San Diego School of International Relations and Pacific Studies,USA
"WOODMAN, Bridget",University of Exeter Cornwall Campus,UK
"YAMAGUCHI, Mitsutsune",The University of Tokyo,Japan
"YETANO ROCHE, Maria","Wuppertal Institute for Climate, Environment and Energy",Germany
"ZAIN AHMED, Azni",Universiti Teknologi MARA,Malaysia
"ZHANG, Xiliang",Tsinghua University,China
"ZHOU, Dadi","Energy Research Institute, National Development and Reform Commission, China",China
"ZHOU, Peter",EECG Consultants (Pty) Ltd,Botswana
"ZHU, Songli","National Development and Reform Commission, China",China
"ZOU, Ji",National Center for Climate Change Strategy and International Cooperation,China
"ZWICKEL, Timm",Potsdam Institute for Climate Impact Research,Germany
"ZYLICZ, Tomasz",University of Warsaw,Poland
