"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Colombia","COL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","90","88","86","111","122","106","125","122","145","162.3","194.7","234.9","247.7","240.3","331.5","315.8","355.6","325.5","358.5","401.3","469.7","489.4","574.6","608.4","692.4","726.6","","",
"Comoros","COM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","1","0","0.3","0","0","0.5","1","0.5","0.1","0","0.7","0.5","1.6","0","1.2","0.6","0.5","0.7","0.3","","",
"Cabo Verde","CPV","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","0","2","0","0","0","0.3","0.7","0.3","0.2","0.6","0","0.2","0","1.3","0.3","0.3","1.2","0","0.7","2.1","1.8","0.6","","",
"Costa Rica","CRI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","44","48","55","55","54","55","62","61","66","65.8","74.7","76.5","72.7","69.2","80","90.3","89.1","88.9","84.9","105.6","80.1","100.2","107","98.3","102.1","106.4","","",
"South Asia (IFC classification)","CSA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","133","152","144","145","124","129","131","134","152","149","124.9","131.7","126.2","117.4","105.8","137.3","138.1","135.1","144.6","139.5","123.1","155.6","129.7","133","141","152.9","","",
"Cuba","CUB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","56","76","67","90","108","94","131","113","141","167.8","206.4","167","236.3","256.6","283.8","272.1","206","268.3","254.5","261.4","295.2","243.5","252.6","222.4","195","224.1","","",
"Curacao","CUW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","13","16","15","15","17","8","22","24","24","43","44.5","56.6","54.7","49.3","59","67.9","78.5","75.7","87.3","91.3","119.9","139.1","169","195.2","211.6","211.4","","",
"Czech Republic","CZE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","0","","","","0","0","0","2746","2995","3079","2881","3132","3308","2179","1954.5","2185.5","2304.4","2263.5","2359.9","2483.3","2571.2","2746.6","2820.4","3178.4","3172.1","3565.7","3689.7","3936.2","3948.5","4163.5","4126.5","","",
"Germany","DEU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","26837","","","","27310","25654","25300","29292","31821","32295","32929","35120","34103","36901","37645","39213.4","41414.6","42955","42962.9","43509.6","42677.7","42436","42230.4","43016.8","44194.1","44549.8","44428.7","44915.1","45017.3","45337.8","46258.8","","",
"Djibouti","DJI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","2","3","1","1","2","1","1.3","0.2","0","0.7","0.3","0","0.3","0.5","0.5","0.9","0.9","0.3","0.6","0.5","1.6","1.9","1.3","","",
"Dominica","DMA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","2","0","0.3","0","1.5","0","0.1","2","0.7","2","2.3","2.7","2.7","2.1","2.5","3","3.2","2.1","","",
"Denmark","DNK","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","3198","","","","3194","3636","3432","3445","3722","3716","3776","4141","4068","4458","4330.1","4368.7","4597.4","4717.9","4783.3","4882.9","4916.7","4760.7","5005.8","5009","5047.5","5133.1","5240.6","5303.5","5307","5638.7","6071.3","","",
"Dominican Republic","DOM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","9","7","6","6","7","11","5","9","7","5","10","6.2","7.6","5.5","12.9","5.8","5.2","5.1","6.7","4.6","5.4","8.1","7.7","6.1","6.9","9.1","","",
"Algeria","DZA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","81","61","66","73","98","106","120","123","125","146.3","155.6","159.6","156.4","185.4","211.3","220.5","229.7","280.7","344","350.3","413.4","480.7","536.6","607.5","598.3","599.3","","",
"East Asia & Pacific (developing only)","EAP","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","1100","","","","1943","3716","3939","5472","6322","7214","7139","7908","8594","8964","10237.1","11765.5","13445.4","15194.9","17283.5","20196","22910.1","25188.4","30909.9","37194.4","44187.7","52626.5","60170.9","69157","78388.8","84706.3","95382.3","","",
"East Asia & Pacific (all income levels)","EAS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","36706","","","","42911","49651","49325","55096","59669","63365","64815","72445","73812","80290","82585.5","89930.6","94616.3","101153.6","106853.2","113881.7","117690.8","121031.1","131164.7","140934.9","149542","161525.2","169112.4","182046.3","190621.5","197490","211521.8","","",
